ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
46,2022-03-24 12:39:20 ( CDT ),44644.52731481481,"Can you buy Twitter and then delete it , please !? xx",62,TJ,"TJ, Self",1,"TJ, Self",,
47,2022-03-24 12:40:30 ( CDT ),44644.528125,America is going INSANE .,62,TJ,"TJ, Self",1,"TJ, Self",,
48,2022-03-24 12:43:38 ( CDT ),44644.53030092592,The Babylon Bee got suspension is crazy . Raiyah and I were talking about it today . It was a
fucking joke . Why has everyone become so puritanical ?,62,TJ,"TJ, Self",1,"TJ, Self",,
49,2022-03-24 12:45:02 ( CDT ),44644.531273148146,Or can you buy Twitter and make it radically free - speech ?,62,TJ,"TJ, Self",1,"TJ, Self",,
50,2022-03-24 12:45:29 ( CDT ),44644.53158564815,So much stupidity comes from Twitter xx,62,TJ,"TJ, Self",1,"TJ, Self",,
51,2022-03-24 12:52:14 ( CDT ),44644.53627314815,Maybe buy it and change it to properly support free speech xx,62,Self,"TJ, Self",1,"TJ, Self",,
52,2022-03-24 12:52:21 ( CDT ),44644.53635416667,Liked " Or can you buy Twitter and make it radically free - speech ? ",62,Self,"TJ, Self",1,"TJ, Self",,
54,2022-03-24 13:01:50 ( CDT ),44644.54293981481,"I honestly think social media is the scourge of modern life , and the worst of all is Twitter ,
because it's also a news stream as well as a social platform , and so has more real - world
standing than Tik Tok etc. But it's very easy to exploit and is being used by radicals for social
engineering on a massive scale . And this shit is infecting the world . Please do do something to
fight woke - ism . I will do anything to help ! xx",62,TJ,"TJ, Self",1,"TJ, Self",,
