ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
104,2022-03-30 16:59:54 ( CDT ),44650.70826388889,"Hey Elon , I'm Martha chair of Twitter nomgov - know you've talked to Bret and parag - I'm v
keen to have a chat when you have time - im in Europe but will make anything work",12,Martha Twitter NomGov,"Egon Durban,
Martha Twitter NomGov
Parag,
Bret Taylor,
Self,",1,"Egon Durban,
Martha Twitter NomGov
Parag,
Bret Taylor,
Self,",,
105,2022-03-30 17:08:34 ( CDT ),44650.71428240741,Sounds good . Perhaps a call late tonight central time works ? I'm usually up until ~ 3am .,12,Self,"Egon Durban,
Martha Twitter NomGov
Parag,
Bret Taylor,
Self,",1,"Egon Durban,
Martha Twitter NomGov
Parag,
Bret Taylor,
Self,",,
110,2022-03-30 23:14:35 ( CDT ),44650.968460648146,Sure,12,Self,"Egon Durban,
Martha Twitter NomGov
Parag,
Bret Taylor,
Self,",1,"Egon Durban,
Martha Twitter NomGov
Parag,
Bret Taylor,
Self,",,
