ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
82,2022-03-27 12:56:20 ( CDT ),44647.53912037037,Sure .,43,Larry Ellison,"Larry Ellison, 
Martha Twitter NomGov, Self",1,"Larry Ellison, 
Martha Twitter NomGov, Self",,
600,2022-04-27 20:03:54 ( CDT ),44678.83604166667,Happy to talk about it if this is interesting : Twitter conversational OS - the townsquare for
your digital life .,43,Marc Benioff,"Marc Benioff, Self",,"Marc Benioff, Self",,
601,2022-04-27 20:21:20 ( CDT ),44678.84814814815,Well I don't own it yet,43,Self,"Marc Benioff, Self",,"Marc Benioff, Self",,
