ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
94,2022-03-27 21:29:43 ( CDT ),44647.895636574074,"Hi E , Pain settling down ? Time for a latter - day Guttenburg to bring back free speech
buy Twitter .
..... and",10,Dr Jabour,"Dr Jabour, Self",1,"Dr Jabour, Self",,
200,2022-04-04 12:04:51 ( CDT ),44655.50336805556,"Liked " Hi E , Pain settling down ? Time for a latter - day Guttenburg to bring back free speech
and buy Twitter . " www .",10,Self,"Dr Jabour, Self",1,"Dr Jabour, Self",,
513,2022-04-24 23:19:48 ( CDT ),44675.972083333334,"Hi E , looks like a TWITTER board member scurrying around unbalanced trying to deal with
your offer .... Am loving your tactics , ( vid taken fro my house on Monica beach ) -Brad",10,Dr Jabour,"Dr Jabour, Self",,"Dr Jabour, Self",,
514,2022-04-24 23:28:45 ( CDT ),44675.97829861111,"Loved " Hi E , looks like a TWITTER board member scurrying around unbalanced trying to deal
with your offer .... Am loving your tactics , ( vid taken fro my house on Monica beach ) -Brad "",10,Self,"Dr Jabour, Self",,"Dr Jabour, Self",,
