ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
183,2022-04-04 09:46:48 ( CDT ),44655.4075,Hi - if you have a few moments call anytime ? Flying to UK,17,Egon Durban,"Egon Durban, Self",1,"Egon Durban, Self",,
184,2022-04-04 10:58:50 ( CDT ),44655.45752314815,Just spoke to Bret . His call woke me up haha . Got it from Berlin at 4am .,17,Self,"Egon Durban, Self",1,"Egon Durban, Self",,
185,2022-04-04 10:59:11 ( CDT ),44655.457766203705,do,17,Egon Durban,"Egon Durban, Self",1,"Egon Durban, Self",,
186,2022-04-04 11:01:25 ( CDT ),44655.45931712963,Please talk to Martha about the filing,17,Self,"Egon Durban, Self",1,"Egon Durban, Self",,
187,2022-04-04 11:01:54 ( CDT ),44655.459652777776,ok,17,Jared Birchall,"Egon Durban, Self",1,"Egon Durban, Self",,
420,2022-04-17 20:28:45 ( CDT ),44668.85329861111,You're calling Morgan Stanley to speak poorly of me ...,17,Self,"Egon Durban, Self",,"Egon Durban, Self",,
