ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
757,2022-06-16 22:04:25 ( CDT ),44728.9197337963,"If I understood them correctly , Ned and Parag said that cash expenditures over the next 12 months
will be $ 78 and that cash receipts will also be $ 7B . However , the cash receipts number doesn't
seem realistic , given that they expect only $ 1.28 in Q2 , which is just $ 4.8B annualized .",69,Self,"Redacted, Self",,"Redacted, Self",,
758,2022-06-17 03:30:59 ( CDT ),44729.146516203706,"in europe so just getting your msg , i do not have proxy w me but my guess is they are using their
proxy numbers vs current reality . we are developing proformas that have lower revenue / receipts
and lower disbursements .",69,,"Redacted, Self",,"Redacted, Self",,
759,2022-06-17 09:32:38 ( CDT ),44729.39766203704,"Ok . Given that Q2 is almost over , it obviously doesn't make sense for them to use proxy numbers vs",69,Self,"Redacted, Self",,"Redacted, Self",,
760,2022-06-17 10:10:31 ( CDT ),44729.42396990741,"I'm traveling in Europe right now , but back next week",69,Self,"Redacted, Self",,"Redacted, Self",,
761,2022-06-17 12:47:17 ( CDT ),44729.53283564815,"i spoke w ned on the 7b receipts / expenses . he said he was trying to be more illustrative on '23
expense base , pre any actions we would take and provide a simplified strawman of possible
savings . he said they are not planning on doing an updated fcst for 22/23 . i think this is ok re
process since i think their fcst would not likely be very good and we wouldn't likely use it anyways .
They fly at way too high a level to have a fcst of much value . We are in process of developing
revenue fcst and a range of sensitivities and will then walk thru w them to get their input .",69,,"Redacted, Self",,"Redacted, Self",,
762,2022-06-17 13:39:34 ( CDT ),44729.56914351852,Their revenue projections seem disconnected from reality,69,Self,"Redacted, Self",,"Redacted, Self",,
763,2022-06-17 13:51:33 ( CDT ),44729.577465277776,completely .,69,Redacted,"Redacted, Self",,"Redacted, Self",,
764,2022-06-17 13:54:00 ( CDT ),44729.57916666667,"Phew , it's not just me",69,Self,"Redacted, Self",,"Redacted, Self",,
