ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
426,2022-04-20 16:23:58 ( CDT ),44671.68331018519,Larry Ellison is interested in being part of the Twitter take - private,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,
429,2022-04-20 16:28:23 ( CDT ),44671.686377314814,Liked " Larry Ellison is interested in being part of the Twitter take - private 11,30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
433,2022-04-21 00:36:28 ( CDT ),44672.02532407407,https://www.bloomberg.com/news/articles/2022-04-19/ftx-ceo-bankman-fried-wants-to-fix
social - media - with - blockchain,30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
434,2022-04-21 00:36:29 ( CDT ),44672.02533564815,< Attachment - text / vcard - Sam Bankman - Fried.vcf >,30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
435,2022-04-21 00:36:50 ( CDT ),44672.0255787037,He seems to point to a similar blockchain based idea,30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
436,2022-04-21 00:38:02 ( CDT ),44672.026412037034,"Also , we now have the right software engineer for you to speak with about the blockchain
idea . Do you want an intro ? Or just contact info ?",30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
437,2022-04-21 01:29:15 ( CDT ),44672.06197916667,Who is this person and who recommended them ?,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,
438,2022-04-21 01:29:23 ( CDT ),44672.06207175926,The engineer,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,
439,2022-04-21 01:29:28 ( CDT ),44672.06212962963,I mean,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,
441,2022-04-21 01:37:55 ( CDT ),44672.06799768518,"former spacex'r , current CTO at Matter Labs , a blockchain company . TBC is on the verge of
hiring him .",30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
442,2022-04-21 01:37:59 ( CDT ),44672.06804398148,https://www.linkedin.com/in/anthonykrose/,30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
443,2022-04-21 01:45:48 ( CDT ),44672.07347222222,Ok,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,
444,2022-04-21 01:46:30 ( CDT ),44672.073958333334,best to intro you via email ?,30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
445,2022-04-21 01:57:27 ( CDT ),44672.0815625,Yeah,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,
447,2022-04-21 21:52:26 ( CDT ),44672.911412037036,Investor calls are currently scheduled from 1pm to 3pm . They'd like to do a brief check in
beforehand .,30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
448,2022-04-21 21:57:50 ( CDT ),44672.91516203704,Ok,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,Self (
449,2022-04-21 21:57:57 ( CDT ),44672.915243055555,Whatever time works,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,Self (
450,2022-04-21 22:17:24 ( CDT ),44672.92875,Liked " Whatever time works ",30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
451,2022-04-22 00:47:03 ( CDT ),44673.03267361111,I'll be dialing in to the calls as well . Let me know if you prefer that I'm there in person at the
house or if remote is better .,30,Jared Birchall,"Jared Birchall, Self",,"Jared Birchall, Self",,
452,2022-04-22 02:46:16 ( CDT ),44673.11546296296,Remote is fine,30,Self,"Jared Birchall, Self",,"Jared Birchall, Self",,
