ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
83,2022-03-27 15:01:12 ( CDT ),44647.62583333333,"Hi everyone Parag ( Ceo ) , Bret ( Chairman ) and Martha ( head of gov ) - You are connected w
Elon . He is briefed on my conversations w you . Elon - everyone excited about prospect of
you being involved and on board . Next step is for you to chat w three of them so we can
move this forward quickly . Maybe we can get this done next few days",13,Egon Durban,"Egon Durban,
NomGov,
Parag,
Bret Taylor,
Self,
Martha Twitter",1,"Egon Durban,
Parag,
Bret Taylor,
Martha Twitter NomGov, Self",,
84,2022-03-27 15:01:55 ( CDT ),44647.62633101852,Thanks Egon,13,Self,"Egon Durban,
NomGov,
Parag,
Bret Taylor,
Self,
Martha Twitter",1,"Egon Durban,
Parag,
Bret Taylor,
Martha Twitter NomGov, Self",,
87,2022-03-27 15:14:24 ( CDT ),44647.635,Hey Elon- great to be connected directly . Would love to chat !,13,Parag,"Egon Durban,
NomGov,
Parag,
Bret Taylor,
Self,
Martha Twitter",1,"Egon Durban,
Parag,
Bret Taylor,
Martha Twitter NomGov, Self",,
