ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
53,2022-03-24 12:57:06 ( CDT ),44644.53965277778,I love your " Twitter algorithm should be open source " tweet - I'm actually speaking to over
100 members of congress tomorrow at the GOP policy retreat and this is one of the ideas I'm
pushing for reigning in crazy big tech . Now I can cite you so I'll sound less crazy myself :) .
Our public squares need to not have arbitrary sketchy censorship .,35,Joe Lonsdale,"Joe Lonsdale, Self",1,"Joe Lonsdale, Self",,
55,2022-03-24 13:12:11 ( CDT ),44644.55012731482,Liked " I love your " Twitter algorithm should be open source " tweet - I'm actually speaking to
over 100 members of congress tomorrow at the GOP policy retreat and this is one of the
ideas I'm pushing for reigning in crazy big tech . Now I can cite you so I'll sound less crazy
myself :) . Our public squares need to not have arbitrary sketchy censorship . ",35,Self,"Joe Lonsdale, Self",1,"Joe Lonsdale, Self",,
56,2022-03-24 13:12:15 ( CDT ),44644.55017361111,Absolutely,35,Self,"Joe Lonsdale, Self",1,"Joe Lonsdale, Self",,
57,2022-03-24 13:12:31 ( CDT ),44644.550358796296,What we have right now is hidden corruption !,35,Self,"Joe Lonsdale, Self",1,"Joe Lonsdale, Self",,
58,2022-03-24 13:12:37 ( CDT ),44644.55042824074,Loved " What we have right now is hidden corruption ! ",35,Joe Lonsdale,"Joe Lonsdale, Self",1,"Joe Lonsdale, Self",,
177,2022-04-04 07:55:33 ( CDT ),44655.330243055556,Excited to see the stake in Twitter - awesome . " Back door man " they are saying haha . Hope
you're able to influence it . I bet you the board doesn't even get full reporting or see any
report of the censorship decisions and little cabals going on there but they should - the lefties
on the board likely want plausible deniability !,35,Joe Lonsdale,"Joe Lonsdale, Self",1,"Joe Lonsdale, Self",,
188,2022-04-04 11:15:23 ( CDT ),44655.4690162037,Liked " Excited to see the stake in Twitter - awesome . " Back door man " they are saying haha .
Hope you're able to influence it . I bet you the board doesn't even get full reporting or see
any report of the censorship decisions and little cabals going on there but they should - the
lefties on the board likely want plausible deniability ! ",35,Self,"Joe Lonsdale, Self",1,"Joe Lonsdale, Self",,
411,2022-04-16 14:01:16 ( CDT ),44667.58421296296,Haha even Governor DeSantis just called me just now with ideas how to help you and
outraged at that board and saying the public is rooting for you . Let me know if you or
somebody on your side wants to chat w him . Would be fun to see you if you guys are around
this weekend or the next few days .,35,Joe Lonsdale,"Joe Lonsdale, Self",,"Joe Lonsdale, Self",,
412,2022-04-16 14:12:04 ( CDT ),44667.59171296296,Haha cool,35,Self,"Joe Lonsdale, Self",,"Joe Lonsdale, Self",,
