ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd
144,2022-03-31 21:32:05 ( CDT ),44651.89728009259,"Hey , here's introducing you both , Sam and Elon . You both have interests in games , making
the very long - run future go well , and buying Twitter . So I think you'd have a good
conversation !",65,Will MacAskill,"Will MacAskill, Sam BF, Self",1,"Will MacAskill, Sam BF, Self",,
155,2022-04-01 17:35:46 ( CDT ),44652.7331712963,Great to meet you Elon - happy to chat about Twitter ( or other things ) whenever !,65,Sam BF,"Will MacAskill, Sam BF, Self",1,"Will MacAskill, Sam BF, Self",,
156,2022-04-01 20:52:20 ( CDT ),44652.869675925926,Hi !,65,Self,"Will MacAskill, Sam BF, Self",1,"Will MacAskill, Sam BF, Self",,
157,2022-04-01 22:36:56 ( CDT ),44652.94231481481,Maybe we can talk later today ? I'm in Germany .,65,Self,"Will MacAskill, Sam BF, Self",1,"Will MacAskill, Sam BF, Self",,
158,2022-04-02 09:41:24 ( CDT ),44653.40375,I'm on EST - could talk sometime between 7pm and 10pm Germany time today ?,65,Sam BF,"Will MacAskill, Sam BF, Self",1,"Will MacAskill, Sam BF, Self",,
367,2022-04-14 08:30:27 ( CDT ),44665.354479166665,Btw Elon - would love to talk about Twitter Also a post on how blockchain + Twitter could
work :,65,Sam BF,"Will MacAskill, Sam BF, Self",,"Will MacAskill, Sam BF, Self",,
368,2022-04-14 08:30:29 ( CDT ),44665.35450231482,https://twitter.com/sbf_ftx/status/1514588820641128452?s=21&t=n1CJhLHFilyMognjOucltw,65,Sam BF,"Will MacAskill, Sam BF, Self",,"Will MacAskill, Sam BF, Self",,
